joinkey pap_identifier
00000161 pmid1060088
00000339 pmid19300640
00000680 pmid6583682
00000781 pmid4021560
00000782 pmid3891098
00001088 pmid3419918
00001179 pmid2758466
00001356 pmid2257629
00001367 pmid1979659
00001745 pmid8223264
00001857 pmid8305738
00001981 pmid8013462
00002134 pmid7869081
00002357 pmid8575327
00002494 pmid8681785
00002638 pmid9003776
00002804 pmid9354393
00002884 pmid9307971
00003133 pmid9674433
00003393 pmid9914419
00003682 pmid10498939
00003698 pmid10518212
00004120 pmid10830967
00004237 pmid10952315
00004256 pmid10862749
00004273 pmid10949028
00004303 pmid10983970
00004547 pmid11165764
00004655 pmid11326278
00005003 pmid11707322
00005176 pmid11850401
00005190 pmid11904372
00005257 pmid11959816
00005614 pmid12393910
00005620 pmid12495623
00005747 pmid12619137
00006028 pmid12906791
00006040 pmid12911746
00006041 pmid12914694
00006042 pmid14501184
00006050 pmid12821653
00006115 pmid13678597
00006295 pmid14559923
00006391 pmid14681186
00012914 pmid11717271
00013387 pmid15003845
00013415 pmid15073148
00013463 pmid15155582
00013472 pmid15166144
00013595 pmid9252191
00024344 pmid15289613
00024398 pmid15383839
00024417 pmid15304642
00024437 pmid15371340
00024872 pmid15454573
00024955 pmid15707898
00026788 pmid16143323
00026936 pmid16269543
00027028 pmid16407404
00027053 pmid16432231
00027082 pmid16461282
00027176 pmid16549501
00027627 pmid16698939
00027631 pmid16701625
00027661 pmid16750860
00027761 pmid16857685
00028456 pmid16950114
00028756 pmid17079490
00028791 pmid17098225
00028962 pmid17196041
00029008 pmid17266679
00029329 pmid17466968
00030793 pmid17563750
00030800 pmid17580302
00030846 pmid17628356
00031010 pmid17853888
00031040 pmid17900898
00031530 pmid18284200
00031953 pmid18550714
00031972 pmid18579869
00032178 pmid18784652
00032518 pmid19175297
00033150 pmid19435708
00033447 pmid19502483
00034750 pmid19619274
00035428 pmid19879847
00035548 pmid20027209
00035904 pmid20141168
00036053 pmid20220101
00037123 pmid20820480
00037723 pmid20973953
00037745 pmid21036923
00038067 pmid21258070
00038310 pmid21478858
00038367 pmid21408165
00038509 pmid21655084
00040066 pmid21829390
00040544 pmid22209900
00040555 pmid22207033
00040558 pmid22179787
00040602 pmid22231482
00041106 pmid22588719
00041121 pmid22613359
00041221 pmid22727702
00041255 pmid22761594
00041405 pmid22897658
00041498 pmid22935967
00041568 pmid22875856
00041586 pmid23013276
00041637 pmid23064028
00041688 pmid23103171
00041800 pmid23230286
00041863 pmid23263989
00041988 pmid23319891
00043886 pmid23843623
00043919 pmid23084993
00043987 pmid23901331
00044259 pmid24074059
00044338 pmid24192838
00044338 pmid24192838
00044498 pmid24256178
00044520 pmid24318535
00044520 pmid24318535
00044526 pmid24285704
00044623 pmid24346701
00044625 pmid24367695
00044677 pmid24403161
00044679 pmid24401370
00044706 pmid24418757
00044707 pmid24421384
00044844 pmid24558261
00044844 pmid24558261
00044916 pmid24778933
00044918 pmid24576002
00044940 pmid24586202
00045004 pmid24632947
00045030 pmid24663498
00045056 pmid24692564
00045130 pmid24732978
00045133 pmid24721716
00045169 pmid24178030
00045213 pmid24780738
00045289 pmid24841566
00045315 pmid24882710
00045369 pmid24918786
00045405 pmid24851551
00045431 pmid24968003
00045442 pmid24975394
00045516 pmid25053664
00045532 pmid25054285
00045571 pmid25093668
00045573 pmid25091817
00045626 pmid25144461
00045691 pmid25195067
00045706 pmid25200408
00045719 pmid25178265
00045830 pmid25274815
00045860 pmid25308091
00045879 pmid25326385
00045881 pmid25329393
00045882 pmid25329472
00045886 pmid25330189
00045901 pmid25339611
00045913 pmid25335890
00045923 pmid19103192
00045954 pmid25358863
00045955 pmid25359212
00046039 pmid25202029
00046046 pmid25419959
00046088 pmid25476027
00046103 pmid25464847
00046111 pmid25483063
00046138 pmid25456848
00046150 pmid25446539
00046187 pmid25495476
00046222 pmid25537855
00046298 pmid25567989
00046298 pmid25567989
00046300 pmid25564762
00046306 pmid25567286
00046316 pmid25573177
00046332 pmid25593647
00046333 pmid25594177
00046338 pmid25601023
00046339 pmid25601206
00046342 pmid25602944
00046343 pmid25606464
00046353 pmid25603799
00046355 pmid25608529
00046356 pmid25608867
00046358 pmid25609831
00046360 pmid25611510
00046364 pmid25614236
00046365 pmid25614239
00046369 pmid25617245
00046373 pmid25624506
00046392 pmid25635272
00046394 pmid25635513
00046403 pmid15601821
00046425 pmid25658117
00046459 pmid25688864
00046461 pmid25691744
00046515 pmid25740900
00046532 pmid25769119
00046563 pmid25790851
00046598 pmid25821955
00046615 pmid25843030
00046655 pmid25873636
00046655 pmid25873636
00046685 pmid25900261
00046757 pmid25542313
00046786 pmid25961505
00046830 pmid25981666
00046854 pmid22857936
00046940 pmid26073017
00046944 pmid26079877
00046970 pmid26124290
00046976 pmid26354976
00046976 pmid26354976
00046993 pmid26148345
00047000 pmid26114733
00047001 pmid26115433
00047003 pmid26133526
00047004 pmid26137170
00047006 pmid26141641
00047007 pmid26156747
00047007 pmid26156747
00047008 pmid26158953
00047008 pmid26158953
00047009 pmid26150102
00047010 pmid26150554
00047011 pmid26150972
00047012 pmid26151481
00047014 pmid26113231
00047015 pmid26114425
00047016 pmid26114587
00047052 pmid26086102
00047056 pmid26088160
00047112 pmid26188247
00047131 pmid26195740
00048402 pmid26234645
00048406 pmid26240185
00048410 pmid26241504
00048416 pmid26223767
00048422 pmid26266933
00048493 pmid26321128
00048571 pmid26394000
00048572 pmid26391658
00048576 pmid26393361
00048579 pmid26390854
00048586 pmid26406995
00048588 pmid26399467
00048592 pmid26400541
00048609 pmid26416962
00048639 pmid26443865
00048673 pmid26469050
00048715 pmid26506308
00048810 pmid26566301
00048841 pmid26578594
00048909 pmid26595381
00049011 pmid26667573
00049183 pmid26838180
00049192 pmid26853528
00049218 pmid26863025
00049237 pmid26100902
00049262 pmid26896592
00049274 pmid26903502
00049284 pmid26921457
00049330 pmid26941331
00049365 pmid26960140
00049372 pmid26982032
00049378 pmid26985017
00049389 pmid27015090
00049394 pmid27010650
00049401 pmid27039057
00049403 pmid27036078
00049413 pmid27041501
00049419 pmid27052670
00049427 pmid27065981
00049444 pmid27010073
00049445 pmid27009202
00049459 pmid27078872
00049467 pmid27082444
00049476 pmid27098914
00049476 pmid27098914
00049486 pmid27068791
00049508 pmid26004184
00049511 pmid25422369
00049526 pmid27118310
00049638 pmid27258247
00049793 pmid27397889
00049809 pmid27402188
00049868 pmid27436042
00049938 pmid27501395
00049963 pmid27543292
00049963 pmid27543292
00050009 pmid27548240
00050119 pmid27626671
00050164 pmid28180320
00050199 pmid27688402
00050252 pmid27705746
00050332 pmid27776126
00050367 pmid27780040
00050394 pmid27806269
00050411 pmid27815363
00050411 pmid27815363
00050415 pmid27821782
00050440 pmid27835015
00050531 pmid27980068
00050533 pmid27979965
00050632 pmid28066686
00050677 pmid28122949
00050677 pmid28122949
00050709 pmid28126843
00050718 pmid28161800
00050768 pmid28103804
00050783 pmid28196860
00051167 pmid28455411
00051356 pmid28602951
00051462 pmid28696924
00051462 pmid28696924
00051537 pmid28725724
00051562 pmid28743734
00053050 pmid28887031
00053205 pmid29036691
00053354 pmid29143265
00053367 pmid29153845
00053387 pmid29168059
00053659 pmid29395910
00053814 pmid29515753
00053864 pmid29550685
00053882 pmid29562169
00053906 pmid29604168
00054619 pmid29842888
00054729 pmid29896180
00054793 pmid29949401
00055000 pmid30082731
00055144 pmid27055372
00055476 pmid30338756
00055548 pmid30387556
00055550 pmid30386749
00055566 pmid30389847
00055662 pmid30427367
00055664 pmid30425296
00055754 pmid30456853
00056080 pmid30683797
00056219 pmid30773781
00056420 pmid30893592
00056623 pmid30992386
00056623 pmid30992386
00056649 pmid30933063
00056803 pmid31109965
00056824 pmid15831468
00056888 pmid31154167
00056999 pmid31282862
00058649 pmid31556119
00058681 pmid31593615
00058746 pmid31619445
00058746 pmid31619445
00058823 pmid31672355
00059063 pmid31919410
00059117 pmid31940482
00059134 pmid31887647
00059550 pmid32292107
00059571 pmid32295830
00059575 pmid32305173
00059580 pmid32310230
00059606 pmid32348780
00059624 pmid32374641
00059699 pmid32426804
00059758 pmid32492081
00059807 pmid32531261
00059891 pmid32338597
00059973 pmid32620698
00060185 pmid32892705
00060254 pmid18430416
00060298 pmid32242313
00060420 pmid32958476
00060420 pmid32958476
00060445 pmid32999373
00060538 pmid33122746
00060626 pmid33208465
00060642 pmid33219258
00060643 pmid33208103
00060645 pmid33207633
00060647 pmid33204740
00060648 pmid33202910
00060649 pmid33202845
00060661 pmid33228848
00060662 pmid33225240
00060667 pmid33101582
00060668 pmid33100149
00060670 pmid33093941
00060673 pmid33081837
00060675 pmid33054754
00060676 pmid33053674
00060680 pmid33238150
00060683 pmid33235199
00060685 pmid33238119
00060687 pmid33252330
00060689 pmid33183600
00060693 pmid33262405
00060697 pmid33273580
00060698 pmid33272314
00060704 pmid33259473
00060705 pmid33258406
00060706 pmid33256604
00060712 pmid33184027
00060715 pmid33168053
00060718 pmid33159806
00060726 pmid32585871
00060730 pmid32305870
00060735 pmid33290777
00060741 pmid33288755
00060752 pmid33303134
00060755 pmid33298957
00060756 pmid33298437
00060759 pmid33024055
00060760 pmid32978396
00060763 pmid32958651
00060764 pmid32957927
00060787 pmid33309948
00060791 pmid33321846
00060797 pmid33349622
00060798 pmid33350383
00060889 pmid33051209
00060914 pmid33484878
00061013 pmid32911276
00061216 pmid33766022
00061219 pmid33789352
00061227 pmid18381292
00061289 pmid33826611
00061624 pmid34003969
00061907 pmid34507987
00061934 pmid34541605
00065038 pmid36812209
